"Building IRN","Building Name","District IRN","District Name","County","Region","Street address","City and Zip code","Phone #","Principal","Grade Span","Open/Closed Status (as of 9/1/2014)","School Type","Number of Standards Met","Number of Standards Possible","Percent of Standards Met","Letter Grade of Standards Met","Performance Index Score 2013-14","Performance Index Percent 2013-14","Letter Grade of Performance Index","Letter Grade of Overall Value-Added","Letter Grade of Gifted Value-Added","Letter Grade of Disabled Value-Added","Letter Grade of Lowest 20% Value-Added","Letter Grade of AMO","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","Letter Grade of 4-Year Graduate Rate 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Letter Grade of 5-Year Graduate Rate 2012","Enrollment","Read 3rd Grade 2013-14 % at or above Proficient","Read 3rd Grade 2012-13 % at or above Proficient","Read 3rd Grade 2011-12 % at or above Proficient","Math 3rd Grade 2013-14 % at or above Proficient","Math 3rd Grade 2012-13 % at or above Proficient","Math 3rd Grade 2011-12 % at or above Proficient","Read 4th Grade 2013-14 % at or above Proficient","Read 4th Grade 2012-13 % at or above Proficient","Read 4th Grade 2011-12 % at or above Proficient","Math 4th Grade 2013-14 % at or above Proficient","Math 4th Grade 2012-13 % at or above Proficient","Math 4th Grade 2011-12 % at or above Proficient","Read 5th Grade 2013-14 % at or above Proficient","Read 5th Grade 2012-13 % at or above Proficient","Read 5th Grade 2011-12 % at or above Proficient","Math 5th Grade 2013-14 % at or above Proficient","Math 5th Grade 2012-13 % at or above Proficient","Math 5th Grade 2011-12 % at or above Proficient","Science 5th Grade 2013-14 % at or above Proficient","Science 5th Grade 2012-13 % at or above Proficient","Science 5th Grade 2011-12 % at or above Proficient","Read 6th Grade 2013-14 % at or above Proficient","Read 6th Grade 2012-13 % at or above Proficient","Read 6th Grade 2011-12 % at or above Proficient","Math 6th Grade 2013-14 % at or above Proficient","Math 6th Grade 2012-13 % at or above Proficient","Math 6th Grade 2011-12 % at or above Proficient","Read 7th Grade 2013-14 % at or above Proficient","Read 7th Grade 2012-13 % at or above Proficient","Read 7th Grade 2011-12 % at or above Proficient","Math 7th Grade 2013-14 % at or above Proficient","Math 7th Grade 2012-13 % at or above Proficient","Math 7th Grade 2011-12 % at or above Proficient","Read 8th Grade 2013-14 % at or above Proficient","Read 8th Grade 2012-13 % at or above Proficient","Read 8th Grade 2011-12 % at or above Proficient","Math 8th Grade 2013-14 % at or above Proficient","Math 8th Grade 2012-13 % at or above Proficient","Math 8th Grade 2011-12 % at or above Proficient","Science 8th Grade 2013-14 % at or above Proficient","Science 8th Grade 2012-13 % at or above Proficient","Science 8th Grade 2011-12 % at or above Proficient","Read OGT 2013-14 % at or above Proficient","Read OGT 2012-13 % at or above Proficient","Read OGT 2011-12 % at or above Proficient","Math OGT 2013-14 % at or above Proficient","Math OGT 2012-13 % at or above Proficient","Math OGT 2011-12 % at or above Proficient","Write OGT 2013-14 % at or above Proficient","Write OGT 2012-13 % at or above Proficient","Write OGT 2011-12 % at or above Proficient","Social Studies OGT 2013-14 % at or above Proficient","Social Studies OGT 2012-13 % at or above Proficient","Social Studies OGT 2011-12 % at or above Proficient","Science OGT 2013-14 % at or above Proficient","Science OGT 2012-13 % at or above Proficient","Science OGT 2011-12 % at or above Proficient","Read 11th Grade 2013-14 % at or above Proficient","Read 11th Grade 2012-13 % at or above Proficient","Read 11th Grade 2011-12 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2012-13 % at or above Proficient","Math 11th Grade 2011-12 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2012-13 % at or above Proficient","Write 11th Grade 2011-12 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2012-13 % at or above Proficient","Social Studies 11th Grade 2011-12 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2012-13 % at or above Proficient","Science 11th Grade 2011-12 % at or above Proficient","Attendance 2013-14","Attendance 2012-13","Attendance 2011-12","Performance Index Score 2012-13","Performance Index Score 2011-12","Four-Year Graduation Rate Numerator 2013","Four-Year Graduation Rate Denominator 2013","Five-Year Graduation Numerator 2012","Five-Year Graduation Denominator 2012","% Graduates Participating in ACT 2012-13","Number of ACT Remediation Free in 2012-13","% of ACT Remediation Free in 2012-13","% Graduates Participating in SAT 2012-13","Number of SAT Remediation Free in 2012-13","% of SAT Remediation Free in 2012-13","% Graduates with Honors Diploma in 2012-13","Number of Graduates Participating in an AP Test 2012-13","% AP Test Takers with an AP score of 3 or above 2012-13","% Students with an Industry Credential 2012-13","% Students with At Least 3 Dual Enrollment Credits 2012-13"
"012033","Foxfire Intermediate School","048850","Maysville Local","Muskingum","Region 12","2805 Pinkerton Ln","Zanesville, OH   43701-8593","(740) 453-4509","","K-8","Open","Community School Conversion","0.0","10.0","0.0","F","60.000","50.0","D","D","NR","F","F","F","--","NR","--","NR","106","--","--","--","--","--","--","--","--","--","--","--","--","18.2","--","--","18.2","--","--","27.3","--","--","50.0","--","--","25.0","--","--","35.7","50.0","47.1","7.1","37.5","41.2","32.1","61.5","64.3","28.6","26.9","57.1","21.4","30.8","50.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.1","95.1","95.8","70.519","78.036","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"012045","Patriot Preparatory Academy","012045","Patriot Preparatory Academy","Franklin","Region 11","4938 Beatrice Dr","Columbus, OH   43227-2113","(614) 864-5332","","K-12","Open","Community School Startup","12.0","24.0","50.0","D","89.527","74.6","C","B","NR","NR","B","F","93.3","A","100.0","A","582","83.7","80.5","65.3","61.2","65.9","40.8","86.4","86.3","59.2","70.5","62.7","38.8","78.0","50.0","58.7","68.0","54.0","34.8","64.0","38.0","47.8","78.6","68.6","85.4","52.4","64.7","64.6","89.6","74.4","70.4","43.8","59.0","42.6","81.6","84.0","78.8","60.5","54.0","65.6","36.8","36.7","27.3","100.0","100.0","84.0","68.2","96.2","88.0","100.0","96.2","96.0","90.9","96.2","84.0","68.2","92.3","72.0","95.7","95.8","100.0","87.0","91.7","100.0","100.0","100.0","100.0","91.3","91.7","100.0","87.0","87.5","87.5","95.4","95.8","95.8","87.215","82.598","14","15","16","16","53.3","3","20.0","60.0","2","13.3","13.3","0","0.0","0.0","0.0"
"012052","Imagine on Superior","049163","Portage County ESC","Stark","Region 9","1500 Superior Ave NE","Canton, OH   44705-1956","(330) 451-2050","Wendy M. Hubbard","K-6","Open","Community School Conversion","0.0","2.0","0.0","F","64.130","53.4","D","C","NR","NR","C","NR","--","NR","--","NR","119","35.7","18.8","52.6","28.6","31.3","15.8","--","53.3","--","--","26.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","95.0","94.5","93.6","62.581","65.526","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"012054","North Central Academy","123257","North Central Ohio ESC","Seneca","Region 1","928 W Market St Ste B","Tiffin, OH   44883-2529","(419) 448-5786","","6-12","Open","Community School Conversion","1.0","5.0","20.0","F","83.154","69.3","D","D","NR","NR","NR","F","58.1","F","46.2","F","94","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","76.5","63.6","85.7","70.6","80.0","71.4","81.3","63.6","78.6","62.5","--","57.1","68.8","--","50.0","--","87.5","--","--","81.3","70.0","--","93.8","--","--","68.8","90.0","--","56.3","80.0","89.0","85.0","86.9","73.434","86.098","18","31","12","26","--","--","--","--","--","--","0.0","0","0.0","6.5","0.0"
"012060","Akros Middle School","012060","Akros Middle School","Summit","Region 8","265 Park St","Akron, OH   44304-1305","(330) 374-6704","Holly S. Piskula","6-8","Open","Community School Startup","0.0","7.0","0.0","F","82.399","68.7","D","A","NR","B","A","F","--","NR","--","NR","122","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","61.0","66.7","65.1","61.0","58.3","46.5","66.7","51.2","42.5","56.4","46.5","55.0","73.0","74.2","79.4","67.6","54.8","73.5","24.3","22.6","41.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.4","93.1","96.1","78.845","81.56700000000001","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"012078","Quest Community School","049163","Portage County ESC","Cuyahoga","Region 3","12000 Snow Rd Ste 415","Parma, OH   44130-9313","(216) 220-4412","","9-12","Open","Community School Conversion","2.0","10.0","20.0","F","72.967","60.8","D","NR","NR","NR","NR","NR","0.0","F","--","NR","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","82.4","--","--","60.0","--","--","53.3","--","--","56.3","20.0","--","50.0","20.0","--","90.9","--","--","50.0","--","--","58.3","--","--","50.0","--","--","50.0","--","--","0.0","81.9","81.5","64.468","50.0","0","10","--","--","--","--","--","--","--","--","0.0","0","0.0","0.0","0.0"
"012105","Southside Academy","012105","Southside Academy","Mahoning","Region 5","1833 Market St","Youngstown, OH   44507-1137","(330) 742-9090","Stephanie A. Groscost","K-12","Open","Community School Startup","0.0","14.0","0.0","F","60.667","50.6","D","C","NR","F","F","F","--","NR","--","NR","223","35.7","41.5","43.8","21.4","31.7","43.8","30.6","57.1","45.2","13.9","25.0","41.9","36.8","37.0","30.0","26.3","14.8","27.5","21.1","33.3","52.5","31.8","44.4","76.4","27.3","51.9","80.0","45.8","48.6","47.4","16.7","34.3","36.8","56.5","48.8","43.9","65.2","60.5","36.6","26.1","16.3","17.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","89.7","90.0","92.1","68.199","74.306","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"012501","Beacon Hill Academy","050526","Tri-County ESC","Wayne","Region 9","PO Box 285","Mount Eaton, OH   44659-0285","(330) 359-5600","Bradley A. Herman","7-12","Open","Community School Conversion","4.0","5.0","80.0","B","98.896","82.4","B","F","NR","NR","NR","A","--","NR","--","NR","77","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","100.0","85.7","77.8","100.0","100.0","100.0","100.0","89.5","94.1","95.5","100.0","82.4","63.6","68.4","70.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","97.5","97.7","96.8","98.054","98.26100000000001","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"012513","Cincinnati College Preparatory Academy East","012513","Cincinnati College Preparatory Academy East","Hamilton","Region 13","4324 Homer Ave","Cincinnati, OH   45227-2943","(513) 241-1101","Genesis N. Henderson","K-6","Open","Community School Startup","4.0","9.0","44.4","F","80.904","67.4","D","A","NR","D","D","F","--","NR","--","NR","305","87.1","100.0","73.8","60.0","93.3","57.1","90.6","90.0","64.0","81.3","70.0","36.0","29.3","48.9","45.0","22.0","59.6","52.5","20.0","23.4","32.5","87.0","87.2","89.6","69.6","56.4","62.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.7","93.4","95.0","86.65700000000001","80.925","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"012536","UBAH Math & Reading Academy","012536","UBAH Math & Reading Academy","Franklin","Region 11","3850 Sullivant Ave","Columbus, OH   43228-4327","(614) 279-6000","Lance O. Weber","K-8","Open","Community School Startup","0.0","2.0","0.0","F","57.800","48.2","F","C","NR","NR","C","F","--","NR","--","NR","142","47.8","--","","21.7","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","95.7","97.2","","35.652","0.0","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"012541","University of Cleveland Preparatory School","012541","University of Cleveland Preparatory School","Cuyahoga","Region 3","1906 E 40th St","Cleveland, OH   44103-3557","","Deirdra A. Shobe","K-12","Open","Community School Startup","1.0","14.0","7.1","F","82.713","68.9","D","A","NR","D","A","F","--","NR","--","NR","369","70.0","75.0","47.8","66.7","75.0","69.6","61.9","84.4","70.8","61.9","71.9","45.8","31.3","51.4","31.3","43.8","51.4","15.6","28.1","31.4","15.6","84.4","87.5","100.0","59.4","66.7","58.3","75.0","75.0","70.4","66.7","64.3","63.0","77.8","76.9","100.0","75.0","57.7","87.5","55.6","57.7","93.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","90.7","91.1","94.4","84.936","79.747","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"012545","Imagine Woodbury Academy","050401","Warren County ESC","Montgomery","Region 10","100 E Woodbury Dr","Dayton, OH   45415-2841","","Kathryn M. Kountz","K-8","Open","Community School Conversion","0.0","7.0","0.0","F","74.857","62.4","D","C","NR","NR","NR","D","--","NR","--","NR","161","54.5","50.0","--","45.5","33.3","--","71.4","70.0","--","64.3","40.0","--","54.5","30.8","--","54.5","15.4","--","27.3","15.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.3","92.1","91.0","65.89500000000001","70.0","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"012556","Pearl Academy","012556","Pearl Academy","Cuyahoga","Region 3","4850 Pearl Rd","Cleveland, OH   44109-5135","(216) 741-2991","Michael F. Jaissle","K-12","Open","Community School Startup","0.0","14.0","0.0","F","75.376","62.8","D","F","NR","NR","F","F","--","NR","--","NR","329","55.3","66.7","60.0","28.9","34.5","33.3","73.3","70.8","40.9","43.3","33.3","22.7","42.1","51.9","43.5","31.6","37.0","17.4","21.1","29.6","39.1","76.0","50.0","63.2","76.0","54.5","47.4","55.0","50.0","54.5","40.0","25.0","63.6","71.4","--","--","52.4","--","--","28.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","90.1","91.0","92.4","71.894","69.739","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"012557","Woodland Academy","012557","Woodland Academy","Cuyahoga","Region 3","10615 Lamontier Ave","Cleveland, OH   44104-4847","(216) 721-6909","Christopher M. Terec","K-12","Open","Community School Startup","0.0","14.0","0.0","F","58.153","48.5","F","F","NR","C","C","F","--","NR","--","NR","334","39.5","43.5","32.7","28.9","30.4","17.3","33.3","45.7","39.7","13.3","28.3","17.2","17.9","18.6","29.6","20.5","18.6","14.8","12.8","7.0","14.8","32.4","44.4","33.3","24.3","22.2","4.4","37.5","26.3","44.7","17.5","10.5","14.9","45.5","84.8","62.9","21.2","12.1","34.3","15.2","12.1","14.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","90.7","92.1","92.0","60.329","59.389","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"012558","Global Village Academy","012558","Global Village Academy","Cuyahoga","Region 3","5720 State Rd","Parma, OH   44134-2564","(216) 767-5956","Anna P. Holowatyj","K-5","Open","Community School Startup","5.0","7.0","71.4","C","101.967","85.0","B","D","NR","NR","NR","A","--","NR","--","NR","126","100.0","78.6","--","100.0","100.0","--","93.8","91.7","--","68.8","75.0","--","87.5","--","--","81.3","--","--","68.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.8","94.2","94.7","104.063","106.667","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"012626","OAK Leadership Institute","012626","OAK Leadership Institute","Cuyahoga","Region 3","8610 Hough Ave","Cleveland, OH   44106-1566","(216) 229-7178","","K-12","Open","Community School Startup","0.0","0.0","NR","NR","63.506","52.9","D","F","NR","NR","C","F","--","NR","--","NR","76","--","--","--","--","--","--","--","--","--","--","--","--","--","23.1","--","--","23.1","--","--","15.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.3","90.7","93.4","61.5","56.667","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"012627","STEAM Academy of Akron","012627","STEAM Academy of Akron","Summit","Region 8","1350 Virginia Ave","Akron, OH   44306-3603","(330) 773-1100","Nova D. O'Callaghan","K-8","Open","Community School Startup","0.0","2.0","0.0","F","67.436","56.2","D","D","NR","NR","F","F","--","NR","--","NR","11","--","","","--","","","50.0","","","20.0","","","--","","","--","","","--","","","--","","","--","","","--","","","--","","","--","","","--","","","--","","","--","","","--","","","--","","","--","","","--","","","--","","","--","","","--","","","--","","","--","","","91.9","--","90.9","0.0","70.714","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"012628","Imagine Integrity Academy","012628","Imagine Integrity Academy","Franklin","Region 11","1565 Integrity Dr E","Columbus, OH   43209-2707","","Michelle K. Brown","K-8","Open","Community School Startup","0.0","5.0","0.0","F","54.400","45.3","F","C","NR","NR","C","F","--","NR","--","NR","106","--","--","--","--","--","--","50.0","50.0","--","25.0","21.4","--","18.2","--","--","18.2","--","--","9.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","90.6","89.1","91.7","57.241","55.0","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"012629","Great Expectations Elementary School","012629","Great Expectations Elementary School","Lucas","Region 1","20 Arco Dr","Toledo, OH   43607-2901","(419) 490-6252","","K-8","Open","Community School Startup","0.0","7.0","0.0","F","70.902","59.1","D","C","NR","NR","C","F","--","NR","--","NR","168","56.5","52.2","--","52.2","60.9","--","38.9","85.0","--","22.2","55.0","--","41.2","37.5","--","47.1","43.8","--","29.4","50.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","92.2","94.4","92.3","80.373","81.786","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"012631","Impact Academy Cincinnati","012631","Impact Academy Cincinnati","Hamilton","Region 13","3060 Durrell Ave","Cincinnati, OH   45207-1716","(513) 751-2000","","K-8","Open","Community School Startup","0.0","2.0","0.0","F","64.722","53.9","D","F","NR","NR","F","NR","--","NR","--","NR","108","--","61.5","--","--","61.5","--","53.8","--","--","23.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","90.9","87.2","90.8","88.462","0.0","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"012644","STEAM Academy of Warren","012644","STEAM Academy of Warren","Trumbull","Region 5","261 Elm Rd NE","Warren, OH   44483-5003","(330) 394-3200","Timothy Freeman","K-8","Open","Community School Startup","0.0","14.0","0.0","F","76.041","63.4","D","A","NR","NR","A","F","--","NR","--","NR","170","47.1","81.8","26.7","58.8","54.5","40.0","64.3","47.4","45.5","57.1","57.9","54.5","52.9","--","70.0","47.1","--","35.0","35.3","--","45.0","54.5","71.4","60.0","36.4","28.6","30.0","76.9","69.2","--","53.8","23.1","--","75.0","--","--","41.7","--","--","25.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","91.9","92.0","93.2","75.58","71.13600000000001","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"012668","Garfield Academy","012668","Garfield Academy","Stark","Region 9","1379 Garfield Ave SW","Canton, OH   44706-5200","(330) 454-3128","Thomas A. Lewis","K-12","Open","Community School Startup","0.0","14.0","0.0","F","64.172","53.5","D","C","NR","C","C","F","--","NR","--","NR","200","40.0","53.3","25.0","26.7","46.7","31.3","47.1","38.5","35.7","35.3","23.1","25.0","28.6","13.6","50.0","25.0","9.1","35.0","28.6","13.6","30.0","36.4","80.0","66.7","40.9","33.3","42.4","68.8","63.6","50.0","18.8","33.3","42.9","55.0","75.0","54.5","52.6","75.0","36.4","20.0","25.0","36.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","91.4","92.3","92.3","67.58","68.284","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"012671","Constellation Schools: Eastside Arts Academy","012671","Constellation Schools: Eastside Arts Academy","Cuyahoga","Region 3","6700 Lansing Ave","Cleveland, OH   44105-3756","(216) 441-9830","Katherine A. Rybak","K-8","Open","Community School Startup","1.0","4.0","25.0","F","83.594","69.7","D","C","NR","NR","NR","NR","--","NR","--","NR","97","58.3","81.8","--","58.3","72.7","--","90.9","--","--","54.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","91.8","92.1","93.6","93.235","71.25","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"012684","Broadway Academy","012684","Broadway Academy","Cuyahoga","Region 3","3398 E 55th St","Cleveland, OH   44127-1691","(216) 271-7747","Nathan P. Richards","K-8","Open","Community School Startup","0.0","14.0","0.0","F","58.801","49.0","F","F","NR","NR","F","F","--","NR","--","NR","321","27.6","63.0","28.6","24.1","44.4","14.3","56.0","54.8","61.1","12.0","16.1","27.8","12.5","21.7","4.0","8.3","8.7","4.0","--","4.3","8.0","57.1","44.0","44.4","28.6","12.0","18.5","43.5","42.9","18.2","30.4","20.0","13.6","59.4","40.0","57.1","25.0","12.0","38.1","9.4","4.0","9.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","87.1","90.4","91.5","61.289","57.07","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"012852","Citizens Academy East","043786","Cleveland Municipal","Cuyahoga","Region 3","12523 Woodside Ave","Cleveland, OH   44108-2422","","Alicia M. Sadonick","K-5","Open","Community School Startup","1.0","2.0","50.0","D","96.098","80.1","B","NR","NR","NR","NR","F","--","NR","--","NR","238","80.5","--","","78.0","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","94.6","92.8","","0.0","0.0","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"012924","DECA PREP","043844","Dayton City","Montgomery","Region 10","200 Homewood Ave","Dayton, OH   45405-4328","(937) 229-5782","Judy A. Hennessey","K-6","Open","Community School Startup","2.0","4.0","50.0","D","95.885","79.9","C","F","NR","NR","C","A","--","NR","--","NR","325","91.4","--","","79.3","--","","--","--","","--","--","","--","--","","--","--","","--","--","","84.7","84.9","","70.8","56.2","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","96.5","96.3","","87.055","0.0","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"012951","Columbus Collegiate Academy - West","012951","Columbus Collegiate Academy - West","Franklin","Region 11","300 Dana Ave","Columbus, OH   43223-1310","","Kathryn T. Anstaett","6-8","Open","Community School Startup","2.0","4.0","50.0","D","92.143","76.8","C","A","NR","NR","C","F","--","NR","--","NR","139","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","68.8","73.3","","63.6","70.0","","89.3","--","","87.5","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","93.2","92.3","","89.25","0.0","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"013030","Graham Primary School","013030","Graham Primary School","Franklin","Region 11","3950 Indianola Ave","Columbus, OH   43214-3167","(614) 253-4001","Gregory C. Brown","K-5","Open","Community School Startup","0.0","2.0","0.0","F","96.053","80.0","B","NR","NR","NR","NR","NR","--","NR","--","NR","117","73.7","--","","78.9","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","93.7","91.9","","0.0","0.0","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"013034","Village Preparatory School:: Woodland Hills Campus","043786","Cleveland Municipal","Cuyahoga","Region 3","9201 Crane Ave","Cleveland, OH   44105-1627","","Christopher J. O'Brien","K-4","Open","Community School Startup","0.0","2.0","0.0","F","80.000","66.7","D","NR","NR","NR","NR","F","--","NR","--","NR","290","66.0","--","","46.8","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","93.4","93.4","","0.0","0.0","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"013082","The Haley School","013082","The Haley School","Cuyahoga","Region 3","4556 Warrensville Center Rd","North Randall, OH   44128-4134","(216) 591-9190","","K-8","Open","Community School Startup","1.0","4.0","25.0","F","83.205","69.3","D","B","NR","NR","C","F","--","NR","--","NR","149","82.4","100.0","","52.9","8.3","","53.8","--","","69.2","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","--","--","","94.9","94.4","","82.4","0.0","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
