"Building IRN ","Building Name","District IRN","District Name","County","Region","School Type","Teachers Attendance Rate 2013-14","Average Years of Teacher Experience","Average Number of Full Time Teachers","Average Teacher Salary","Average Number of Full Time Teachers Who Have At Least a Bachelors","% of Teachers Who Have At Least a Bachelors","Average Number of Full Time Teachers Who Have At Least a Masters","% of Teachers Who Have At Least a Masters","% of Core Courses Taught by a Properly Certified Teacher","# of Core Courses Taught by a Properly Certified Teacher","Total # of Core Courses","% of Core Courses Taught by a Highly Qualified Teacher","# of Core Courses Taught by a Highly Qualified Teacher","% of Core Courses Taught by Teacher with a Temporary Certificate","# of Core Courses Taught by Teacher with a Temporary Certificate","Open/Closed Status (as of 9/1/2014)","Feeder IRN"
"029710","Perry High School","047902","Perry Local","Lake","Region 4","High School","96.5","16","38","76392","38","100.0","29","76.5","100","197.0","197.0","100.0","197.0","0","0.0","Open","******"
"029728","Perry Middle School","047902","Perry Local","Lake","Region 4","Middle School","94.4","15","36","72856","36","100.0","23","63.9","100","141.0","141.0","99.3","140.0","0","0.0","Open","029710"
"029736","Perrysburg Junior High School","045583","Perrysburg Exempted Village","Wood","Region 1","Junior High School","96.1","13","69","62022","69","100.0","44","64.4","100","250.0","250.0","100.0","250.0","0","0.0","Open","029744"
"029744","Perrysburg High School","045583","Perrysburg Exempted Village","Wood","Region 1","High School","95.9","13","73","63941","73","100.0","52","71.1","100","376.0","376.0","100.0","376.0","0","0.0","Open","******"
"029751","Loudonville Junior High School","045468","Loudonville-Perrysville Exempted Village","Ashland","Region 7","Junior High School","96.6","14","12","49503","12","100.0","7","61.7","100","60.0","60.0","100.0","60.0","0","0.0","Open","021519"
"029785","Pettisville Elementary School","047076","Pettisville Local","Fulton","Region 1","Elementary School","97.2","23","15","58333","15","100.0","9","61.4","100","80.0","80.0","100.0","80.0","0","0.0","Open","029793"
"029793","Pettisville High School","047076","Pettisville Local","Fulton","Region 1","High School","97.1","22","15","49125","15","100.0","6","38.0","97","161.0","166.0","100.0","166.0","0","0.0","Open","******"
"029801","Pfeiffer Elementary School","043489","Akron City","Summit","Region 8","Elementary School","97.6","12","14","66966","14","100.0","8","57.1","100","70.0","70.0","95.7","67.0","0","0.0","Open","017459"
"029819","Phillips Elementary School","044321","Marietta City","Washington","Region 16","Elementary School","95","15","25","44978","25","100.0","13","52.0","98","98.0","100.0","100.0","100.0","0","0.0","Open","022780"
"029843","Philo High School","048843","Franklin Local","Muskingum","Region 12","High School","95.8","19","34","57278","34","100.0","25","73.4","100","178.0","178.0","100.0","178.0","0","0.0","Open","******"
"029850","Pickaway Elementary School","049080","Logan Elm Local","Pickaway","Region 11","Elementary School","94.7","15","11","52980","11","100.0","10","90.9","100","55.0","55.0","100.0","55.0","0","0.0","Open","033514"
"029868","Pickerington Elementary School","046896","Pickerington Local","Fairfield","Region 11","Elementary School","95.8","12","24","64763","24","100.0","18","75.0","100","99.0","99.0","100.0","99.0","0","0.0","Open","138966"
"029876","Pickerington High School Central","046896","Pickerington Local","Fairfield","Region 11","High School","92.9","13","82","65188","82","100.0","67","81.7","99.3","403.0","406.0","99.3","403.0","0","0.0","Open","******"
"029892","Pickett Elementary School","044909","Toledo City","Lucas","Region 1","Elementary School","95.5","10","16","45302","16","100.0","6","37.5","82.9","58.0","70.0","85.7","60.0","0","0.0","Open","008262"
"029959","Pike Elementary School","048835","East Muskingum Local","Muskingum","Region 12","Elementary School","96.4","13","7","58764","7","100.0","7","100.0","100","41.0","41.0","100.0","41.0","0","0.0","Open","152280"
"029983","Zahns Middle School","049130","Scioto Valley Local","Pike","Region 15","Middle School","93.7","12","17","51835","17","100.0","6","35.3","100","59.0","59.0","100.0","59.0","0","0.0","Open","029991"
"029991","Piketon Jr/Sr High School","049130","Scioto Valley Local","Pike","Region 15","High School","96.2","14","35","54371","35","100.0","15","42.9","86.6","110.0","127.0","100.0","127.0","0","0.0","Open","******"
"030023","Pine  School","044529","North Olmsted City","Cuyahoga","Region 3","Elementary School","95.3","15","13","73796","13","100.0","11","84.0","100","52.0","52.0","100.0","52.0","0","0.0","Open","026310"
"030031","Frank Elementary School","045583","Perrysburg Exempted Village","Wood","Region 1","Elementary School","96.9","11","29","58582","29","100.0","21","71.9","100","144.0","144.0","100.0","144.0","0","0.0","Open","029736"
"030064","North Central Elementary School","050641","North Central Local","Williams","Region 1","Elementary School","95.2","4","20","43511","20","100.0","9","45.0","100","101.0","101.0","100.0","101.0","0","0.0","Open","026112"
"030098","Piqua High School","044644","Piqua City","Miami","Region 10","High School","96","12","44","53103","44","100.0","36","81.7","99.2","493.0","497.0","100.0","497.0","0","0.0","Open","******"
"030106","Miami View Elementary School","046276","Southeastern Local","Clark","Region 10","Elementary School","96.4","15","26","55937","26","100.0","18","68.9","100","142.0","142.0","100.0","142.0","0","0.0","Open","139022"
"030130","Plain City Elementary School","048264","Jonathan Alder Local","Madison","Region 11","Elementary School","96","7","35","54445","35","100.0","28","78.9","100","157.0","157.0","100.0","157.0","0","0.0","Open","000883"
"030148","New Albany 2-5 Building","046995","New Albany-Plain Local","Franklin","Region 11","Elementary School","94.9","12","85","67245","85","100.0","64","76.1","100","417.0","417.0","100.0","417.0","0","0.0","Open","064766"
"030155","New Albany High School","046995","New Albany-Plain Local","Franklin","Region 11","High School","96.4","14","95","67083","95","100.0","69","72.6","100","368.0","368.0","100.0","368.0","0","0.0","Open","******"
"030205","Pleasant Elementary School","048421","Pleasant Local","Marion","Region 7","Elementary School","95.4","11","38","48935","38","100.0","19","50.0","100","176.0","176.0","100.0","176.0","0","0.0","Open","030213"
"030213","Pleasant Middle School","048421","Pleasant Local","Marion","Region 7","Middle School","97.3","18","18","55880","18","100.0","8","44.3","100","134.0","134.0","100.0","134.0","0","0.0","Open","030304"
"030221","Pleasant Elementary School","044560","Norwalk City","Huron","Region 2","Elementary School","93.6","16","25","57701","25","100.0","17","68.0","100","119.0","119.0","100.0","119.0","0","0.0","Open","019968"
"030270","Charles L Seipelt Elementary School","045500","Milford Exempted Village","Clermont","Region 13","Elementary School","96.7","8","24","54935","24","100.0","15","60.3","100","97.0","97.0","100.0","97.0","0","0.0","Open","024752"
"030288","Pleasant Hill Elementary School","043752","Cincinnati City","Hamilton","Region 13","Elementary School","94.4","19","29","67024","29","100.0","24","82.8","84.4","108.0","128.0","100.0","128.0","0","0.0","Open","147538"
"030304","Pleasant High School","048421","Pleasant Local","Marion","Region 7","High School","97","12","27","49191","27","100.0","13","48.9","100","261.0","261.0","100.0","261.0","0","0.0","Open","******"
"030312","Pleasant Ridge Montessori School","043752","Cincinnati City","Hamilton","Region 13","Elementary School","95.6","10","32","55181","32","100.0","19","59.8","98.8","257.0","260.0","100.0","260.0","0","0.0","Open","034538"
"030320","Pleasant Run Elementary School","047365","Northwest Local","Hamilton","Region 13","Elementary School","93.6","16","33","57279","33","100.0","23","69.6","100","137.0","137.0","100.0","137.0","0","0.0","Open","043315"
"030353","Pleasant Valley Elementary School","044636","Parma City","Cuyahoga","Region 3","Elementary School","95.4","12","51","58898","51","100.0","43","84.7","100","223.0","223.0","100.0","223.0","0","0.0","Open","014431"
"030395","Pleasantville Elementary School","046870","Fairfield Union Local","Fairfield","Region 11","Elementary School","96.8","19","18","59409","18","100.0","16","86.1","100","129.0","129.0","100.0","129.0","0","0.0","Open","067991"
"030411","Plymouth Elementary School","049460","Plymouth-Shiloh Local","Richland","Region 7","Elementary School","95.7","23","7","55504","7","100.0","5","70.1","100","51.0","51.0","100.0","51.0","0","0.0","Open","098731"
"030429","Plymouth High School","049460","Plymouth-Shiloh Local","Richland","Region 7","High School","96.7","13","18","48515","18","100.0","9","49.5","100","89.0","89.0","100.0","89.0","0","0.0","Open","******"
"030437","Madison Elementary School","046128","Madison Local","Butler","Region 13","Elementary School","96.2","14","27","50955","27","100.0","11","41.5","100","191.0","191.0","100.0","191.0","0","0.0","Open","022061"
"030445","Poland Middle School","048348","Poland Local","Mahoning","Region 5","Middle School","96.3","13","21","50829","21","100.0","13","61.9","100","62.0","62.0","100.0","62.0","0","0.0","Open","030452"
"030452","Poland Seminary High School","048348","Poland Local","Mahoning","Region 5","High School","95.4","15","41","56768","41","100.0","26","63.1","100","217.0","217.0","96.3","209.0","0","0.0","Open","******"
"030528","Barberton Elementary School East","043539","Barberton City","Summit","Region 8","Elementary School","94.4","15","39","58044","39","100.0","34","85.9","100","182.0","182.0","100.0","182.0","0","0.0","Open","020503"
"030536","Portage Path Community Learning Center","043489","Akron City","Summit","Region 8","Elementary School","96.6","10","20","63100","19","95.0","10","50.0","95.8","115.0","120.0","100.0","120.0","0","0.0","Open","029645"
"030569","Portsmouth Junior High School/Portsmouth High School","044669","Portsmouth City","Scioto","Region 15","High School","93.8","17","49","53386","49","100.0","35","71.7","94.2","211.0","224.0","100.0","224.0","0","0.0","Open","******"
"030585","Portsmouth West High School","049650","Washington-Nile Local","Scioto","Region 15","High School","95.8","16","25","55458","25","100.0","20","80.0","100","110.0","110.0","100.0","110.0","0","0.0","Open","******"
"030593","Possum Elementary School","046284","Clark-Shawnee Local","Clark","Region 10","Elementary School","96.8","15","17","58415","17","100.0","14","82.3","100","125.0","125.0","100.0","125.0","0","0.0","Open","012566"
"030635","Powers Elementary School","045195","Amherst Exempted Village","Lorain","Region 2","Elementary School","95.1","16","36","64723","36","100.0","29","80.9","100","223.0","223.0","99.1","221.0","0","0.0","Open","064121"
"030643","Powhatan Elementary School","048652","Switzerland of Ohio Local","Monroe","Region 12","Elementary School","92.6","16","13","45691","13","100.0","9","69.2","100","50.0","50.0","100.0","50.0","0","0.0","Open","031856"
"030676","Prairie Lincoln Elementary School","044800","South-Western City","Franklin","Region 11","Elementary School","94.9","11","28","59085","28","100.0","20","70.5","100","150.0","150.0","100.0","150.0","0","0.0","Open","138743"
"030684","Prairie Norton Elementary School","044800","South-Western City","Franklin","Region 11","Elementary School","95.9","19","24","66910","24","100.0","13","53.0","100","116.0","116.0","100.0","116.0","0","0.0","Open","138735"
"030692","Prass Elementary School","044180","Kettering City","Montgomery","Region 10","Elementary School","94.3","18","26","66634","25","96.2","23","88.9","100","152.0","152.0","100.0","152.0","0","0.0","Open","018911"
"030700","Preston Elementary School","043836","Cuyahoga Falls City","Summit","Region 8","Elementary School","95.4","13","24","55736","22","91.8","18","71.9","99.2","128.0","129.0","100.0","129.0","0","0.0","Open","003103"
"030742","Princeton Community Middle School","044677","Princeton City","Hamilton","Region 13","Middle School","95.3","10","84","61268","84","100.0","64","75.9","99.6","229.0","230.0","100.0","230.0","0","0.0","Open","030759"
"030759","Princeton High School","044677","Princeton City","Hamilton","Region 13","High School","95.1","10","107","63752","106","99.1","84","78.2","96.5","775.0","803.0","100.0","803.0","0","0.0","Open","******"
"030775","Prospect Elementary School","044297","Mansfield City","Richland","Region 7","Elementary School","91.2","17","20","53993","20","100.0","8","38.5","100","85.0","85.0","100.0","85.0","0","0.0","Open","003624"
"030783","Prospect Elementary School","043943","Elyria City Schools","Lorain","Region 2","Elementary School","94.9","16","26","60979","26","100.0","22","82.7","100","191.0","191.0","100.0","191.0","0","0.0","Open","010751"
"030791","Prospect Elementary School","043901","East Cleveland City School District","Cuyahoga","Region 3","Elementary School","93.1","23","11","71470","11","100.0","6","58.6","100","37.0","37.0","100.0","37.0","0","0.0","Open","038679"
"030809","Prospect Elementary School","044594","Oberlin City Schools","Lorain","Region 2","Elementary School","97.2","10","18","55195","18","100.0","10","53.2","100","66.0","66.0","100.0","66.0","0","0.0","Open","028381"
"030825","Elgin Elementary School","048413","Elgin Local","Marion","Region 7","Elementary School","95.8","18","34","51951","34","100.0","21","61.8","100","164.0","164.0","100.0","164.0","0","0.0","Open","014316"
"030833","Port Clinton Middle School","044651","Port Clinton City","Ottawa","Region 1","Middle School","96.6","3","30","54434","30","100.0","10","33.3","100","121.0","121.0","100.0","121.0","0","0.0","Open","030841"
"030841","Port Clinton High School","044651","Port Clinton City","Ottawa","Region 1","High School","96","4","38","60308","38","100.0","26","68.4","99.4","178.0","179.0","100.0","179.0","0","0.0","Open","******"
"030866","Port Washington Elementary School","050286","Indian Valley Local Schools","Tuscarawas","Region 12","Elementary School","96.1","16","22","52037","22","100.0","17","77.3","100","123.0","123.0","100.0","123.0","0","0.0","Open","037655"
"030890","Put-In-Bay Elementary School","048975","Put-In-Bay Local","Ottawa","Region 1","Elementary School","94.2","20","4","73694","4","100.0","4","100.0","100","39.0","39.0","100.0","39.0","0","0.0","Open","030908"
"030908","Put-In-Bay High School","048975","Put-In-Bay Local","Ottawa","Region 1","High School","96.3","22","4","66543","4","100.0","4","100.0","100","34.0","34.0","100.0","34.0","0","0.0","Open","******"
"030916","Putman Elementary School","046383","Blanchester Local","Clinton","Region 14","Elementary School","95.8","10","30","45697","30","100.0","15","50.0","100","144.0","144.0","100.0","144.0","0","0.0","Open","008054"
"030924","Putnam Elementary School","044321","Marietta City","Washington","Region 16","Elementary School","94.4","13","14","44840","14","100.0","9","64.3","100","60.0","60.0","100.0","60.0","0","0.0","Open","022780"
"030932","Pymatuning Valley High School","045880","Pymatuning Valley Local","Ashtabula","Region 5","High School","92.3","16","25","53472","25","100.0","14","55.1","98.7","151.0","153.0","100.0","153.0","0","0.0","Open","******"
"030973","R C Waters Elementary School","048926","Benton Carroll Salem Local","Ottawa","Region 1","Elementary School","94.9","16","25","62779","25","100.0","22","89.8","100","96.0","96.0","100.0","96.0","0","0.0","Open","067843"
"031021","Ragersville Elementary School","050278","Garaway Local","Tuscarawas","Region 12","Elementary School","98.1","17","7","49449","7","100.0","2","28.6","100","55.0","55.0","100.0","55.0","0","0.0","Open","012849"
"031039","Rainsboro Elementary School","045401","Greenfield Exempted Village","Highland","Region 14","Elementary School","94.8","13","15","47296","15","100.0","5","33.3","100","78.0","78.0","100.0","78.0","0","0.0","Open","098574"
"031054","Waterloo Middle School","049247","Waterloo Local","Portage","Region 8","Middle School","96.8","14","16","52610","16","100.0","11","68.8","100","38.0","38.0","100.0","38.0","0","0.0","Open","039784"
"031070","Ransom H Barr Elementary School","049932","Plain Local","Stark","Region 9","Elementary School","94.9","7","15","40801","15","100.0","7","46.7","100","95.0","95.0","100.0","95.0","0","0.0","Open","036848"
"031104","Ravenna High School","044685","Ravenna City","Portage","Region 8","High School","96.1","6","45","51700","45","100.0","29","63.0","99.1","224.0","226.0","100.0","226.0","0","0.0","Open","******"
"031120","Cory-Rawson Elementary School","047431","Cory-Rawson Local","Hancock","Region 1","Elementary School","96.6","17","18","55429","18","100.0","15","81.8","100","117.0","117.0","100.0","117.0","0","0.0","Open","007401"
"031138","East High School","045161","Youngstown City Schools","Mahoning","Region 5","High School","92.6","14","64","55026","64","100.0","34","53.1","90.3","335.0","371.0","100.0","371.0","0","0.0","Open","******"
"031153","Raymer Elementary School","044909","Toledo City","Lucas","Region 1","Elementary School","96.6","17","29","55222","29","100.0","19","65.5","95.7","155.0","162.0","91.4","148.0","0","0.0","Open","038950"
"031179","Raymond Elementary School","045476","Marysville Exempted Village","Union","Region 11","Elementary School","96.4","12","11","55849","11","100.0","4","38.1","100","54.0","54.0","100.0","54.0","0","0.0","Open","140590"
"031187","Reading  Community High School","044693","Reading Community City","Hamilton","Region 13","High School","96.5","12","29","59067","29","100.0","25","86.2","99.3","285.0","287.0","100.0","287.0","0","0.0","Open","******"
"031195","J W Reason Elementary School","047019","Hilliard City","Franklin","Region 11","Elementary School","95.6","13","25","62910","25","100.0","15","59.2","100","132.0","132.0","100.0","132.0","0","0.0","Open","140814"
"031203","South  Elementary School","047886","Madison Local","Lake","Region 4","Elementary School","95.5","14","38","62043","38","100.0","32","83.7","98.7","224.0","227.0","100.0","227.0","0","0.0","Open","022038"
"031211","Redwood Elementary School","048124","Avon Lake City","Lorain","Region 2","Elementary School","96.3","16","22","61990","22","100.0","16","74.9","100","34.0","34.0","100.0","34.0","0","0.0","Open","061911"
"031237","Campbell Middle School","043703","Campbell City","Mahoning","Region 5","Middle School","94.2","11","26","53982","26","100.0","10","36.4","100","93.0","93.0","100.0","93.0","0","0.0","Open","024190"
"031245","Hubbard Middle School","045427","Hubbard Exempted Village","Trumbull","Region 5","Middle School","94.6","15","35","53832","35","100.0","24","68.6","96.6","168.0","174.0","100.0","174.0","0","0.0","Open","017046"
"031252","Georgetown Elementary School","045377","Georgetown Exempted Village","Brown","Region 14","Elementary School","97","11","28","44723","28","100.0","14","50.0","100","110.0","110.0","100.0","110.0","0","0.0","Open","013326"
"031302","Reid Elementary School","046284","Clark-Shawnee Local","Clark","Region 10","Elementary School","97.3","19","14","62140","14","100.0","10","73.7","100","112.0","112.0","100.0","112.0","0","0.0","Open","012564"
"031328","Reilly Elementary School","044735","Salem City","Columbiana","Region 5","Elementary School","96.2","14","19","52888","19","100.0","14","73.7","100","114.0","114.0","100.0","114.0","0","0.0","Open","043000"
"031369","Intermediate Elementary School","044024","Galion City","Crawford","Region 7","Elementary School","96","15","26","51666","26","100.0","19","71.3","100","137.0","137.0","100.0","137.0","0","0.0","Open","012781"
"031377","Renwood Elementary School","044636","Parma City","Cuyahoga","Region 3","Elementary School","95.8","14","22","66697","22","100.0","17","76.7","100","82.0","82.0","100.0","82.0","0","0.0","Open","034462"
"031393","Revere High School","050054","Revere Local","Summit","Region 8","High School","95.1","18","59","71942","59","100.0","50","84.6","98.3","590.0","600.0","100.0","600.0","0","0.0","Open","******"
"031401","Reynolds Elementary School","044909","Toledo City","Lucas","Region 1","Elementary School","95.7","16","24","53839","24","100.0","16","66.7","85.3","122.0","143.0","84.6","121.0","0","0.0","Open","032276"
"031427","Hannah J Ashton Middle School","047001","Reynoldsburg City","Franklin","Region 11","Middle School","96","9","24","55466","24","100.0","18","73.8","85.7","78.0","91.0","97.8","89.0","0","0.0","Open","009201"
"031443","Rice Elementary School","045492","Mentor Exempted Village","Lake","Region 4","Elementary School","97.6","14","23","67178","23","100.0","18","76.7","100","141.0","141.0","100.0","141.0","0","0.0","Open","031641"
"031468","Richard Avenue Elementary School","044800","South-Western City","Franklin","Region 11","Elementary School","95.5","16","23","66801","23","100.0","18","75.7","100","120.0","120.0","100.0","120.0","0","0.0","Open","138735"
"031476","Richardson Elementary School","043836","Cuyahoga Falls City","Summit","Region 8","Elementary School","94.9","12","29","53098","27","93.0","16","54.5","96.2","151.0","157.0","100.0","157.0","0","0.0","Open","003103"
"031559","Richmond Elementary School","045096","Willard City","Huron","Region 7","Elementary School","95.5","21","10","56503","10","100.0","6","59.6","100","45.0","45.0","100.0","45.0","0","0.0","Open","041319"
"031575","Richmond Heights Elementary School","046599","Richmond Heights Local","Cuyahoga","Region 3","Elementary School","91.6","8","27","58845","26","96.3","11","40.7","100","143.0","143.0","100.0","143.0","0","0.0","Open","031583"
"031583","Richmond Heights Secondary School","046599","Richmond Heights Local","Cuyahoga","Region 3","High School","91.6","6","44","55265","42","95.5","22","50.1","100","214.0","214.0","100.0","214.0","0","0.0","Open","******"
"031617","Ridge-Brook Elementary School","044636","Parma City","Cuyahoga","Region 3","Elementary School","95.4","16","27","67086","27","100.0","22","81.5","100","127.0","127.0","100.0","127.0","0","0.0","Open","014431"
"031641","Ridge Middle School","045492","Mentor Exempted Village","Lake","Region 4","Middle School","96.8","15","39","64126","39","100.0","27","69.6","100","112.0","112.0","100.0","112.0","0","0.0","Open","024281"
"031666","Ridgedale Jr/Sr High School","048439","Ridgedale Local","Marion","Region 7","High School","95.4","13","31","44850","31","100.0","13","42.4","87.5","154.0","176.0","99.4","175.0","0","0.0","Open","******"
"031674","Ridgemont Elementary School","047506","Ridgemont Local","Hardin","Region 6","Elementary School","94","5","18","42639","17","94.5","8","42.1","100","68.0","68.0","100.0","68.0","0","0.0","Open","031716"
"031682","Ridgeview Elementary School","045856","Buckeye Local","Ashtabula","Region 5","Elementary School","95.3","9","24","56647","24","100.0","14","58.3","100","123.0","123.0","100.0","123.0","0","0.0","Open","009944"
"031690","Archbold Middle School","047043","Archbold-Area Local","Fulton","Region 1","Middle School","96.2","20","23","58031","23","100.0","19","84.6","100","115.0","115.0","100.0","115.0","0","0.0","Open","000935"
"031716","Ridgemont High School","047506","Ridgemont Local","Hardin","Region 6","High School","96.9","6","25","38668","25","100.0","10","40.8","100","144.0","144.0","100.0","144.0","0","0.0","Open","******"
"031724","Ridgewood Elementary School","047019","Hilliard City","Franklin","Region 11","Elementary School","93.6","15","26","67157","26","100.0","17","65.2","100","146.0","146.0","100.0","146.0","0","0.0","Open","140814"
"031732","Ridgewood High School","046474","Ridgewood Local","Coshocton","Region 12","High School","97.4","15","26","50379","26","100.0","16","60.8","100","121.0","121.0","100.0","121.0","0","0.0","Open","******"
"031740","Ridgeview Middle School","043802","Columbus City School District","Franklin","Region 11","Middle School","94.4","16","32","72073","32","100.0","24","75.0","78.4","98.0","125.0","93.6","117.0","0","0.0","Open","068536"
"031757","Fostoria Intermediate Elementary School","043992","Fostoria City","Seneca","Region 1","Elementary School","95","15","34","52192","34","100.0","23","67.8","100","138.0","138.0","100.0","138.0","0","0.0","Open","012039"
"031773","Rimer Community Learning Center","043489","Akron City","Summit","Region 8","Elementary School","97.4","13","19","65462","18","94.7","12","63.2","98.3","113.0","115.0","100.0","115.0","0","0.0","Open","017459"
"031781","Rio Grande Elementary School","044032","Gallipolis City","Gallia","Region 16","Elementary School","99.5","15","19","50528","19","100.0","16","86.5","100","86.0","86.0","100.0","86.0","0","0.0","Open","010836"
"031815","Ripley-Union-Lewis-Huntington High School","046078","Ripley-Union-Lewis-Huntington Local","Brown","Region 14","High School","96.3","10","25","44930","23","92.0","9","36.0","98.9","93.0","94.0","100.0","94.0","0","0.0","Open","******"
"031831","Rittman High School","045591","Rittman Exempted Village","Wayne","Region 9","High School","93.6","15","18","46103","18","100.0","11","60.8","100","105.0","105.0","100.0","105.0","0","0.0","Open","******"
"031849","Ritzman Community Learning Center","043489","Akron City","Summit","Region 8","Elementary School","98","14","21","67058","21","100.0","15","71.4","100","132.0","132.0","99.2","131.0","0","0.0","Open","017251"
"031856","River High School","048652","Switzerland of Ohio Local","Monroe","Region 12","High School","93.2","22","16","48638","16","100.0","14","84.4","95.9","93.0","97.0","100.0","97.0","0","0.0","Open","******"
"031872","River Valley High School","048447","River Valley Local","Marion","Region 7","High School","96","15","25","53887","25","100.0","16","64.6","100","129.0","129.0","100.0","129.0","0","0.0","Open","******"
"031880","River View High School","046482","River View Local","Coshocton","Region 12","High School","94.6","13","39","48670","39","100.0","28","71.3","100","165.0","165.0","100.0","165.0","0","0.0","Open","******"
"031898","Riverdale High School","047514","Riverdale Local","Hardin","Region 6","High School","95.5","11","20","41989","20","100.0","11","54.5","90.8","99.0","109.0","100.0","109.0","0","0.0","Open","******"
"031914","Riverside Elementary School","048090","Riverside Local","Logan","Region 6","Elementary School","96.6","13","26","44104","26","100.0","15","57.4","100","123.0","123.0","100.0","123.0","0","0.0","Open","031997"
"031955","Riverside Elementary School","044909","Toledo City","Lucas","Region 1","Elementary School","96.2","16","24","51395","24","100.0","12","50.0","90.5","134.0","148.0","83.8","124.0","0","0.0","Open","042150"
"031963","Riverside School","043786","Cleveland Municipal","Cuyahoga","Region 3","Elementary School","89.7","20","27","75315","27","100.0","24","88.9","97","161.0","166.0","100.0","166.0","0","0.0","Open","004895"
"031989","Riverside Jr/Sr High School","047894","Riverside Local","Lake","Region 4","High School","95.2","14","81","59966","81","100.0","57","70.5","100","743.0","743.0","100.0","743.0","0","0.0","Open","******"
"031997","Riverside High School","048090","Riverside Local","Logan","Region 6","High School","96.6","18","27","42224","27","100.0","15","55.6","99.5","185.0","186.0","100.0","186.0","0","0.0","Open","******"
"032011","Riverview Elementary School","044834","Stow-Munroe Falls City School District","Summit","Region 8","Elementary School","94.2","15","16","63088","16","100.0","6","41.1","100","78.0","78.0","100.0","78.0","0","0.0","Open","098418"
"032060","Robert H Jamison School","043786","Cleveland Municipal","Cuyahoga","Region 3","Elementary School","86.2","13","23","67521","23","100.0","20","87.0","92.5","160.0","173.0","71.1","123.0","0","0.0","Open","018382"
"032078","Robert Louis Stevenson Elementary School","044073","Grandview Heights City","Franklin","Region 11","Elementary School","94.9","14","22","73551","22","100.0","17","79.1","100","96.0","96.0","100.0","96.0","0","0.0","Open","037051"
"032086","Roberts Academy:  A Paideia Learning Community","043752","Cincinnati City","Hamilton","Region 13","Elementary School","95.4","14","41","61829","40","97.6","25","61.0","72.6","135.0","186.0","90.9","169.0","0","0.0","Open","008110"
"032102","Robinson Elementary School","044909","Toledo City","Lucas","Region 1","Elementary School","95.6","11","20","47044","20","100.0","7","35.0","68.5","87.0","127.0","59.1","75.0","0","0.0","Open","008262"
"032110","Robinson Community Learning Center","043489","Akron City","Summit","Region 8","Elementary School","98.1","12","21","65140","21","100.0","14","66.7","97.2","106.0","109.0","100.0","109.0","0","0.0","Open","009498"
"032128","Robinson G Jones Elementary School","043786","Cleveland Municipal","Cuyahoga","Region 3","Elementary School","86.7","15","33","69057","33","100.0","25","75.8","75.7","112.0","148.0","97.3","144.0","0","0.0","Open","004895"
"032136","Robinwood Lane Elementary School","048306","Boardman Local","Mahoning","Region 5","Elementary School","94.9","13","21","52538","21","100.0","16","76.2","100","106.0","106.0","100.0","106.0","0","0.0","Open","003053"
"032144","Rock Creek Elementary School","045872","Jefferson Area Local","Ashtabula","Region 5","Elementary School","93.3","16","15","57576","15","100.0","13","88.2","100","76.0","76.0","100.0","76.0","0","0.0","Open","061929"
"032177","Rockdale Academy Elementary School","043752","Cincinnati City","Hamilton","Region 13","Elementary School","96.9","20","20","64539","20","100.0","13","64.1","65.6","59.0","90.0","83.3","75.0","0","0.0","Open","146365"
"032201","Rockway Elementary School","046284","Clark-Shawnee Local","Clark","Region 10","Elementary School","95.8","24","7","65527","7","100.0","6","76.6","100","41.0","41.0","100.0","41.0","0","0.0","Open","012565"
"032235","Rocky River Middle School","044701","Rocky River City","Cuyahoga","Region 3","Middle School","94.9","18","39","73256","39","100.0","29","73.9","100","184.0","184.0","100.0","184.0","0","0.0","Open","032243"
"032243","Rocky River High School","044701","Rocky River City","Cuyahoga","Region 3","High School","96.1","17","56","71343","56","100.0","41","73.9","100","276.0","276.0","100.0","276.0","0","0.0","Open","******"
"032268","Rogers Elementary School","046425","Beaver Local","Columbiana","Region 5","Elementary School","95.6","14","14","52535","14","100.0","13","92.9","100","52.0","52.0","100.0","52.0","0","0.0","Open","001933"
"032276","Rogers High School","044909","Toledo City","Lucas","Region 1","High School","96.6","14","54","50532","54","100.0","25","46.3","80.4","263.0","327.0","64.8","212.0","0","0.0","Open","******"
"032359","Roosevelt Elementary School","044198","Lakewood City","Cuyahoga","Region 3","Elementary School","96.2","12","16","70412","13","81.5","7","44.6","100","78.0","78.0","100.0","78.0","0","0.0","Open","009117"
"032391","Hubbard  Elementary School","045427","Hubbard Exempted Village","Trumbull","Region 5","Elementary School","94.8","16","32","56481","32","100.0","19","59.4","100","186.0","186.0","100.0","186.0","0","0.0","Open","031245"
"032433","East Garfield Elementary School","044826","Steubenville City","Jefferson","Region 12","Elementary School","96.6","13","24","45732","23","95.7","13","53.2","95.3","141.0","148.0","100.0","148.0","0","0.0","Open","015180"
"032441","Martin Luther King Academy for Boys Elementary School","044909","Toledo City","Lucas","Region 1","Elementary School","96.5","7","17","42824","17","100.0","7","41.2","95.4","83.0","87.0","90.8","79.0","0","0.0","Open","008262"
"032482","Roosevelt Elementary School","050062","Springfield Local","Summit","Region 8","Elementary School","93.4","14","20","61957","20","97.5","12","57.2","100","84.0","84.0","100.0","84.0","0","0.0","Open","033738"
"032490","Roosevelt Elementary School","050229","McDonald Local","Trumbull","Region 5","Elementary School","93.8","16","25","54785","25","100.0","13","52.0","99.2","125.0","126.0","100.0","126.0","0","0.0","Open","023515"
